"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,0,1,2,0.66661584,0.15490457,0.82152039,2,0.56566477,0.25585562,"",2,0.56566477,0.25585562,1,0.30980915,0,1,0.82152039,0.51171124,0,0
F_0001,5,0,0,0,2,3,0.91977888,0.29128331,0.55007052,3,0.42065755,0.097516373,"",3,0.42065755,0.097516373,0,nan,nan,3,0.42065755,nan,0,0
F_0002,6,0,0,1,1,1,0.61197472,0,0.61197472,2,0.61197472,0,"",2,0.61197472,0,1,0.61197472,0,1,0.61197472,0,0,0
F_0003,7,0,0,2,2,1,0.82248819,0,0.82248819,2,0.82248819,0,"",2,0.82248819,0,1,0.82248819,0,1,0.82248819,0,0,0
F_0004,8,0,0,0,5,6,1.4535856,0.37391078,1.3072207,6,0.608859,0.479422,"",5,0.71698993,0.45349836,2,0.61958379,0.46004599,3,0.78192735,0.46635431,1,0.16666667
F_0005,9,0,0,0,18,19,1.0994447,0.31459475,0.88079631,19,0.35813117,0.30363375,"",16,0.42208648,0.28905594,9,0.32497114,0.16757128,7,0.54694897,0.42003986,3,0.15789473
F_0006,10,0,0,2,2,1,2.3851409,0,2.3851409,2,2.3851409,0,"",2,2.3851409,0,1,2.3851409,0,1,2.3851409,0,0,0
F_0007,11,0,0,2,2,1,0.50268972,0,0.50268972,2,0.50268972,0,"",2,0.50268972,0,1,0.50268972,0,1,0.50268972,0,0,0
F_0008,12,0,0,2,2,1,0.71051693,0,0.71051693,2,0.71051693,0,"",2,0.71051693,0,1,0.71051693,0,1,0.71051693,0,0,0
F_0009,13,0,0,12,12,1,1.1328593,0,1.1328593,2,1.1328593,0,"",2,1.1328593,0,1,1.1328593,0,1,1.1328593,0,0,0
F_0010,14,0,0,12,12,1,1.4477376,0,1.4477376,2,1.4477376,0,"",2,1.4477376,0,1,1.4477376,0,1,1.4477376,0,0,0
F_0011,15,0,0,15,15,1,0.6548152,0,0.6548152,2,0.6548152,0,"",2,0.6548152,0,1,0.6548152,0,1,0.6548152,0,0,0
F_0012,16,0,0,15,15,1,0.88272935,0,0.88272935,2,0.88272935,0,"",2,0.88272935,0,1,0.88272935,0,1,0.88272935,0,0,0
F_0013,17,0,0,17,17,1,0.75930506,0,0.75930506,2,0.75930506,0,"",2,0.75930506,0,1,0.75930506,0,1,0.75930506,0,0,0
F_0014,18,0,0,16,16,1,0.4921495,0,0.4921495,2,0.4921495,0,"",2,0.4921495,0,1,0.4921495,0,1,0.4921495,0,0,0
F_0015,19,0,0,5,10,6,0.90753698,0.14646152,1.1984699,7,0.34944877,0.43244562,"",4,0.59926271,0.42613328,3,0.39952698,0.28730121,1,1.1984699,0.79894292,3,0.42857143
F_0016,20,0,0,9,9,1,0.52618939,0,0.52618939,2,0.52618939,0,"",2,0.52618939,0,1,0.52618939,0,1,0.52618939,0,0,0
F_0017,21,0,0,9,9,1,0.3754119,0,0.3754119,2,0.3754119,0,"",2,0.3754119,0,1,0.3754119,0,1,0.3754119,0,0,0
F_0018,22,0,0,9,9,1,1.2212526,0,1.2212526,2,1.2212526,0,"",2,1.2212526,0,1,1.2212526,0,1,1.2212526,0,0,0
F_0019,23,0,0,10,10,1,0.86606491,0,0.86606491,2,0.86606491,0,"",2,0.86606491,0,1,0.86606491,0,1,0.86606491,0,0,0
F_0020,24,0,0,9,13,5,1.1296586,0.25856498,1.1639894,6,0.48854086,0.41026574,"",4,0.70711386,0.33029383,2,0.71261019,0.065878093,2,0.7016176,0.46250248,2,0.33333334
F_0021,25,0,0,9,14,6,1.2036009,0.48428917,0.52552527,7,0.59669155,0.51083845,"",5,0.82632273,0.42510357,2,1.0263604,0.53922677,3,0.69296438,0.41717681,2,0.2857143
F_0022,26,0,0,11,11,1,1.362906,0,1.362906,2,1.362906,0,"",2,1.362906,0,1,1.362906,0,1,1.362906,0,0,0
F_0023,27,0,0,11,11,1,0.48095399,0,0.48095399,2,0.48095399,0,"",2,0.48095399,0,1,0.48095399,0,1,0.48095399,0,0,0
F_0024,28,0,0,48,49,2,0.67307717,0.075757086,0.74883425,3,0.49922284,0.25352859,"",3,0.49922284,0.25352859,2,0.37441713,0.22290295,1,0.74883425,0.37441713,0,0
F_0025,29,0,0,48,49,2,1.2208339,0.070216179,1.2910501,3,0.86070007,0.51252282,"",3,0.86070007,0.51252282,2,0.64552504,0.50509268,1,1.2910501,0.64552504,0,0
