"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,0,0,1,0.93149936,0,0.93149936,1,0.93149936,0,"",1,0.93149936,0,0,nan,nan,1,0.93149936,nan,0,0
F_0001,5,0,0,0,0,1,0.98596382,0,0.98596382,1,0.98596382,0,"",1,0.98596382,0,0,nan,nan,1,0.98596382,nan,0,0
F_0002,6,0,0,0,3,4,0.92114443,0.31831861,0.57280451,4,0.33574608,0.26981235,"",2,0.60460937,0.03180483,0,nan,nan,2,0.60460937,nan,2,0.5
F_0003,7,0,0,2,3,2,1.0502262,0.10965905,1.1598853,3,0.77325684,0.401797,"",3,0.77325684,0.401797,2,0.57994264,0.36062455,1,1.1598853,0.57994264,0,0
F_0004,8,0,0,0,5,6,1.3095413,0.39903778,0.55651903,6,0.41710648,0.20444186,"",6,0.41710648,0.20444186,1,0.36814213,0,5,0.42689934,0.23028846,0,0
F_0005,9,0,0,0,2,3,1.8257872,0.21196109,1.6857741,3,0.7214579,0.70509213,"",2,1.0724268,0.61334729,0,nan,nan,2,1.0724268,nan,1,0.33333334
F_0006,10,0,0,1,5,5,1.1727644,0.20114382,1.0254509,6,0.52246529,0.40567887,"",5,0.62651408,0.36405152,2,0.78258729,0.27933955,3,0.52246529,0.45767552,1,0.16666667
F_0007,11,0,0,0,1,2,1.3801233,0.0080689192,1.3720543,2,0.69409609,0.67795825,"",1,1.3720543,0,0,nan,nan,1,1.3720543,nan,1,0.5
F_0008,12,0,0,0,3,4,1.6101754,0.46826166,1.1149194,4,0.76744854,0.35022077,"",4,0.76744854,0.35022077,1,0.71541762,0,3,0.78479218,0.40883869,0,0
F_0009,13,0,0,1,2,2,1.2728715,0.26029557,1.5331671,3,1.0221114,0.4134374,"",3,1.0221114,0.4134374,2,0.76658356,0.24599242,1,1.5331671,0.76658356,0,0
F_0010,14,0,0,1,1,1,0.59628242,0,0.59628242,2,0.59628242,0,"",2,0.59628242,0,1,0.59628242,0,1,0.59628242,0,0,0
F_0011,15,0,0,0,1,2,1.4919689,0.054700315,1.4372686,2,0.77333462,0.66393399,"",2,0.77333462,0.66393399,0,nan,nan,2,0.77333462,nan,0,0
F_0012,16,0,0,1,1,1,1.0364608,0,1.0364608,2,1.0364608,0,"",2,1.0364608,0,1,1.0364608,0,1,1.0364608,0,0,0
F_0013,17,0,0,3,4,2,0.77494836,0.012877911,0.7878263,3,0.52521753,0.35332927,"",2,0.77494836,0.012877911,1,0.76207048,0,1,0.7878263,0.025755823,1,0.33333334
F_0014,18,0,0,0,5,6,1.1485213,0.39503112,0.87369394,6,0.33473885,0.38011903,"",3,0.61575794,0.36060268,0,nan,nan,3,0.61575794,nan,3,0.5
F_0015,19,0,0,3,3,1,1.0181255,0,1.0181255,2,1.0181255,0,"",2,1.0181255,0,1,1.0181255,0,1,1.0181255,0,0,0
F_0016,20,0,0,3,3,1,0.71206474,0,0.71206474,2,0.71206474,0,"",2,0.71206474,0,1,0.71206474,0,1,0.71206474,0,0,0
F_0017,21,0,0,3,3,1,0.6599977,0,0.6599977,2,0.6599977,0,"",2,0.6599977,0,1,0.6599977,0,1,0.6599977,0,0,0
F_0018,22,0,0,0,11,12,1.6711215,0.40724927,1.148325,12,0.45642912,0.27222466,"",12,0.45642912,0.27222466,4,0.41596106,0.18139432,8,0.47666317,0.31171134,0,0
F_0019,23,0,0,0,14,15,1.3553907,0.24904855,1.4400892,15,0.43375015,0.33078256,"",13,0.49240765,0.31655595,5,0.52063465,0.12237693,8,0.47476578,0.39341089,2,0.13333334
F_0020,24,0,0,3,3,1,0.85249275,0,0.85249275,2,0.85249275,0,"",2,0.85249275,0,1,0.85249275,0,1,0.85249275,0,0,0
F_0021,25,0,0,3,4,2,2.2572007,0.11864412,2.3758447,3,1.5838965,0.95711082,"",3,1.5838965,0.95711082,2,1.1879224,0.95063412,1,2.3758447,1.1879224,0,0
F_0022,26,0,0,0,4,5,2.4002807,0.51198405,1.9664632,5,0.67627609,0.70416093,"",4,0.84133899,0.69539517,0,nan,nan,4,0.84133899,nan,1,0.2
F_0023,27,0,0,0,14,15,1.325492,0.57833564,1.0343204,15,0.37445363,0.32851005,"",9,0.59819281,0.23199025,3,0.46389797,0.056870069,6,0.66534013,0.3258293,6,0.40000001
F_0024,28,0,0,0,5,6,1.3554158,0.3057673,1.1384494,6,0.55095428,0.342244,"",5,0.64376634,0.29811513,1,0.80179918,0,4,0.60425818,0.3772383,1,0.16666667
F_0025,29,0,0,1,4,4,1.3947413,0.45877907,2.0679662,5,1.0965437,0.68488693,"",5,1.0965437,0.68488693,2,1.3706796,0.17892331,3,0.91378635,0.94111216,0,0
F_0026,30,0,0,4,5,2,1.0479524,0.024589002,1.0233634,3,0.71502757,0.47125462,"",2,1.0479524,0.024589002,1,1.0725414,0,1,1.0233634,0.049178004,1,0.33333334
F_0027,31,0,0,6,6,1,1.6022856,0,1.6022856,2,1.6022856,0,"",2,1.6022856,0,1,1.6022856,0,1,1.6022856,0,0,0
F_0028,32,0,0,6,8,3,1.8297749,0.53858232,1.2279472,4,1.2674947,0.77623028,"",4,1.2674947,0.77623028,1,2.5349894,0,3,0.84499645,1.7162269,0,0
F_0029,33,0,0,5,10,6,1.5090127,0.36316237,1.8250211,7,0.88641495,0.42954829,"",7,0.88641495,0.42954829,4,0.77561307,0.24413225,3,1.0341507,0.61620325,0,0
F_0030,34,0,0,6,6,1,0.81576544,0,0.81576544,2,0.81576544,0,"",2,0.81576544,0,1,0.81576544,0,1,0.81576544,0,0,0
F_0031,35,0,0,2,5,4,1.7886418,0.46682343,1.6913857,5,1.1523623,0.9062655,"",5,1.1523623,0.9062655,2,1.4404529,1.1343256,3,0.96030194,0.8058489,0,0
F_0032,36,0,0,0,6,7,1.3332995,0.44234484,0.81549704,7,0.62190777,0.35224137,"",6,0.72491366,0.26548332,1,1.2492652,0,5,0.62004346,0.64382529,1,0.14285715
F_0033,37,0,0,4,5,2,1.3735373,0.35507274,1.0184646,3,1.1524067,0.42643711,"",3,1.1524067,0.42643711,1,1.72861,0,2,0.86430502,0.87794548,0,0
F_0034,38,0,0,2,8,7,1.1050888,0.22684328,1.0620999,8,0.5163517,0.39521578,"",6,0.67217207,0.33330727,3,0.68846893,0.24272056,3,0.65587527,0.40472877,2,0.25
F_0035,39,0,0,5,6,2,1.0751516,0.076741219,0.99841034,3,0.76792854,0.43897396,"",3,0.76792854,0.43897396,1,1.1518928,0,2,0.57594639,0.71427584,0,0
F_0036,40,0,0,7,7,1,0.7139585,0,0.7139585,2,0.7139585,0,"",2,0.7139585,0,1,0.7139585,0,1,0.7139585,0,0,0
F_0037,41,0,0,8,11,4,1.8297466,0.30713505,2.1057963,5,1.1043637,0.86988068,"",4,1.3742726,0.7626344,2,1.3680906,0.79813862,2,1.3804545,0.72544712,1,0.2
F_0038,42,0,0,0,8,9,1.5055889,0.47723016,1.0004609,9,0.42989719,0.40858462,"",6,0.62333816,0.37096024,2,0.6467281,0.10680515,4,0.61164331,0.44892564,3,0.33333334
F_0039,43,0,0,7,8,2,1.4740498,0.58750987,2.0615597,3,1.3743731,0.49998274,"",3,1.3743731,0.49998274,2,1.0307798,0.14423987,1,2.0615597,1.0307798,0,0
F_0040,44,0,0,7,8,2,1.0438943,0.0096318126,1.053526,3,0.70235068,0.48307952,"",2,1.0438943,0.0096318126,1,1.0342624,0,1,1.053526,0.019263625,1,0.33333334
F_0041,45,0,0,7,8,2,1.2893333,0.28923768,1.0000956,3,1.0523807,0.4099578,"",3,1.0523807,0.4099578,1,1.578571,0,2,0.78928548,0.81695318,0,0
F_0042,46,0,0,7,7,1,0.99931234,0,0.99931234,2,0.99931234,0,"",2,0.99931234,0,1,0.99931234,0,1,0.99931234,0,0,0
F_0043,47,0,0,1,9,9,1.640417,0.73286456,1.0742061,10,0.6266228,0.4681311,"",7,0.87442219,0.32893971,4,0.75521219,0.3882294,3,1.0333689,0.29097441,3,0.30000001
F_0044,48,0,0,10,10,1,1.2514055,0,1.2514055,2,1.2514055,0,"",2,1.2514055,0,1,1.2514055,0,1,1.2514055,0,0,0
F_0045,49,0,0,9,13,5,2.2524316,0.17072354,2.1345644,6,0.94358557,0.93954587,"",5,1.117576,0.93683481,2,1.3785617,1.006458,3,0.94358557,0.94920146,1,0.16666667
