"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,0,0,1,0.59278166,0,0.59278166,1,0.59278166,0,"",1,0.59278166,0,0,nan,nan,1,0.59278166,nan,0,0
F_0001,5,0,0,0,2,3,0.66171348,0.11213593,0.80695069,3,0.3967503,0.29756424,"",3,0.3967503,0.29756424,1,0.27300394,0,2,0.45862347,0.39469793,0,0
F_0002,6,0,0,0,4,5,1.593924,0.48254204,2.114944,5,0.65700674,0.76300007,"",3,1.0659453,0.74309301,2,0.54144585,0.054607987,1,2.114944,1.5734981,2,0.40000001
F_0003,7,0,0,0,2,3,0.81734246,0.26464123,0.46274087,3,0.43520951,0.175909,"",3,0.43520951,0.175909,1,0.20732361,0,2,0.54915249,0.35258183,0,0
F_0004,8,0,0,1,2,2,0.81628114,0.026063263,0.79021788,3,0.56156296,0.360854,"",2,0.81628114,0.026063263,1,0.8423444,0,1,0.79021788,0.052126527,1,0.33333334
F_0005,9,0,0,2,3,2,0.7585144,0.094730854,0.66378355,3,0.56883019,0.27918246,"",3,0.56883019,0.27918246,1,0.85324526,0,2,0.42662263,0.48811081,0,0
F_0006,10,0,0,4,20,17,1.1933527,0.18871352,1.2020512,18,0.32345033,0.38978973,"",12,0.46609437,0.40815222,6,0.46866262,0.45208406,6,0.46352616,0.3589007,6,0.33333334
F_0007,11,0,0,9,9,1,0.78151101,0,0.78151101,2,0.78151101,0,"",2,0.78151101,0,1,0.78151101,0,1,0.78151101,0,0,0
F_0008,12,0,0,11,13,3,0.7044335,0.11000598,0.82456392,4,0.49788857,0.28335568,"",4,0.49788857,0.28335568,2,0.49788854,0.23208633,2,0.49788854,0.32667539,0,0
F_0009,13,0,0,11,11,1,0.39274797,0,0.39274797,2,0.39274797,0,"",2,0.39274797,0,1,0.39274797,0,1,0.39274797,0,0,0
F_0010,14,0,0,11,59,49,1.7138668,0.52691269,1.1469811,49,0.33803409,0.34872526,"",32,0.49391598,0.34024072,16,0.52791846,0.36981022,16,0.45991343,0.31157699,17,0.34693879
F_0011,15,0,0,13,13,1,0.72726643,0,0.72726643,2,0.72726643,0,"",2,0.72726643,0,1,0.72726643,0,1,0.72726643,0,0,0
F_0012,16,0,0,2,9,8,0.58964741,0.18957941,0.50821811,9,0.375891,0.16837564,"",8,0.41313943,0.1393095,4,0.40340149,0.18564911,4,0.42287737,0.067367204,1,0.11111111
F_0013,17,0,0,6,9,4,0.9655782,0.22987752,0.72415304,5,0.50705349,0.22817104,"",5,0.50705349,0.22817104,3,0.4225446,0.25194293,2,0.6338169,0.22977512,0,0
F_0014,18,0,0,5,6,2,0.67165649,0.048369735,0.62328678,3,0.48001751,0.27388096,"",2,0.67165649,0.048369735,1,0.72002625,0,1,0.62328678,0.096739471,1,0.33333334
F_0015,19,0,0,6,8,3,0.98159814,0.23234579,1.2102814,4,0.60514069,0.39550954,"",4,0.60514069,0.39550954,3,0.40342712,0.21404892,1,1.2102814,0.80685425,0,0
F_0016,20,0,0,7,7,1,0.88366055,0,0.88366055,2,0.88366055,0,"",2,0.88366055,0,1,0.88366055,0,1,0.88366055,0,0,0
F_0017,21,0,0,7,7,1,1.1418272,0,1.1418272,2,1.1418272,0,"",2,1.1418272,0,1,1.1418272,0,1,1.1418272,0,0,0
F_0018,22,0,0,7,21,15,0.94595343,0.23942997,0.64891338,16,0.36387426,0.27943832,"",13,0.44360235,0.24915464,7,0.40836784,0.22041886,6,0.48470935,0.2837435,3,0.1875
F_0019,23,0,0,8,8,1,0.82839197,0,0.82839197,2,0.82839197,0,"",2,0.82839197,0,1,0.82839197,0,1,0.82839197,0,0,0
F_0020,24,0,0,8,8,1,0.72475791,0,0.72475791,2,0.72475791,0,"",2,0.72475791,0,1,0.72475791,0,1,0.72475791,0,0,0
F_0021,25,1,0.016666668,0,59,60,2.0308287,0.31806692,2.0479589,59,0.14678314,0.2312606,"",22,0.35266149,0.27372774,10,0.39472449,0.29572976,12,0.31760898,0.26024908,37,0.62711865
F_0022,26,0,0,51,51,1,0.9004606,0,0.9004606,2,0.9004606,0,"",2,0.9004606,0,1,0.9004606,0,1,0.9004606,0,0,0
F_0023,27,0,0,54,54,1,0.61699677,0,0.61699677,2,0.61699677,0,"",2,0.61699677,0,1,0.61699677,0,1,0.61699677,0,0,0
F_0024,28,0,0,53,53,1,0.42399675,0,0.42399675,2,0.42399675,0,"",2,0.42399675,0,1,0.42399675,0,1,0.42399675,0,0,0
F_0025,29,0,0,53,54,2,0.67207575,0.060859084,0.61121666,3,0.48862323,0.26415694,"",3,0.48862323,0.26415694,1,0.73293483,0,2,0.36646742,0.44068193,0,0
F_0026,30,0,0,55,55,1,0.40938085,0,0.40938085,2,0.40938085,0,"",2,0.40938085,0,1,0.40938085,0,1,0.40938085,0,0,0
F_0027,31,0,0,56,56,1,0.97561973,0,0.97561973,2,0.97561973,0,"",2,0.97561973,0,1,0.97561973,0,1,0.97561973,0,0,0
F_0028,32,0,0,56,59,4,0.83347857,0.17911205,1.0713898,4,0.34703207,0.15514892,"",4,0.34703207,0.15514892,3,0.40991965,0.12757553,1,0.15836924,0.25155041,0,0
F_0029,33,0,0,54,57,4,0.66910827,0.12475301,0.80640161,5,0.32256064,0.30842024,"",3,0.52573967,0.23514016,2,0.38540867,0.15446034,1,0.80640161,0.42099294,2,0.40000001
F_0030,34,0,0,55,55,1,1.0476255,0,1.0476255,2,1.0476255,0,"",2,1.0476255,0,1,1.0476255,0,1,1.0476255,0,0,0
F_0031,35,0,0,48,53,6,1.39054,0.14474528,1.3024153,7,0.53895819,0.53293902,"",5,0.73562163,0.51191252,2,0.93102401,0.46188253,3,0.6053533,0.59847355,2,0.2857143
F_0032,36,0,0,50,52,3,0.97787482,0.18638229,0.71437389,4,0.55768269,0.40687254,"",3,0.73975021,0.29687139,1,1.1153654,0,2,0.55194271,0.58636934,1,0.25
F_0033,37,0,0,50,50,1,1.218425,0,1.218425,2,1.218425,0,"",2,1.218425,0,1,1.218425,0,1,1.218425,0,0,0
F_0034,38,0,0,49,49,1,1.1011484,0,1.1011484,2,1.1011484,0,"",2,1.1011484,0,1,1.1011484,0,1,1.1011484,0,0,0
F_0035,39,0,0,48,50,3,1.1565882,0.26862904,0.81514716,4,0.73577553,0.46985444,"",4,0.73577553,0.46985444,1,1.4715511,0,3,0.49051702,1.0080534,0,0
F_0036,40,0,0,47,50,4,0.64092147,0.081885427,0.5718556,5,0.32031751,0.30300793,"",3,0.51219565,0.2467522,1,0.78012478,0,2,0.37823108,0.44610426,2,0.40000001
F_0037,41,0,0,50,51,2,0.70725363,0.031787455,0.67546618,3,0.49269405,0.30454105,"",2,0.70725363,0.031787455,1,0.73904109,0,1,0.67546618,0.06357491,1,0.33333334
F_0038,42,0,0,57,57,1,0.67737389,0,0.67737389,2,0.67737389,0,"",2,0.67737389,0,1,0.67737389,0,1,0.67737389,0,0,0
F_0039,43,0,0,57,57,1,1.0259101,0,1.0259101,2,1.0259101,0,"",2,1.0259101,0,1,1.0259101,0,1,1.0259101,0,0,0
F_0040,44,0,0,56,59,4,1.2788423,0.1768139,1.4664055,4,0.46305266,0.32834482,"",4,0.46305266,0.32834482,3,0.55310267,0.33363312,1,0.19290257,0.36020011,0,0
F_0041,45,0,0,59,59,1,0.63024837,0,0.63024837,1,0.63024837,0,"",1,0.63024837,0,1,0.63024837,0,0,nan,nan,0,0
F_0042,46,0,0,58,59,2,1.1666386,0.086119115,1.0805194,2,0.71249795,0.54025972,"",2,0.71249795,0.54025972,1,1.2527577,0,1,0.17223823,1.0805194,0,0
F_0043,47,0,0,58,59,2,1.442498,0.016073048,1.458571,2,0.72928548,0.69713938,"",1,1.4264249,0,1,1.4264249,0,0,nan,nan,1,0.5
F_0044,48,0,0,31,33,3,1.1055695,0.24340899,1.4085501,4,0.70427507,0.45779854,"",4,0.70427507,0.45779854,3,0.46951672,0.24288553,1,1.4085501,0.93903345,0,0
F_0045,49,0,0,33,34,2,0.8282181,0.20616296,1.034381,3,0.68958735,0.25840354,"",3,0.68958735,0.25840354,2,0.51719052,0.1048646,1,1.034381,0.51719052,0,0
F_0046,50,1,0.023809524,0,41,42,1.9102408,0.37308228,1.6713617,42,0.2512852,0.36556011,"",15,0.63919473,0.37275699,7,0.59044701,0.19420388,8,0.68184912,0.48164505,27,0.64285713
F_0047,51,0,0,35,35,1,0.71318245,0,0.71318245,2,0.71318245,0,"",2,0.71318245,0,1,0.71318245,0,1,0.71318245,0,0,0
F_0048,52,0,0,28,59,32,1.1486632,0.28121021,0.99430466,32,0.23280114,0.21040785,"",21,0.33014074,0.19878854,12,0.3399848,0.2237682,9,0.31701526,0.1602162,11,0.34375
F_0049,53,0,0,37,38,2,1.0310787,0.087954998,1.1190337,3,0.74602246,0.40947711,"",3,0.74602246,0.40947711,2,0.55951685,0.38360685,1,1.1190337,0.55951685,0,0
F_0050,54,0,0,37,37,1,0.54860711,0,0.54860711,2,0.54860711,0,"",2,0.54860711,0,1,0.54860711,0,1,0.54860711,0,0,0
F_0051,55,0,0,29,39,11,1.1013243,0.34883744,1.1512764,12,0.50272316,0.37018022,"",11,0.5398683,0.36460093,5,0.58444244,0.42560947,6,0.50272316,0.31048629,1,0.083333336
F_0052,56,0,0,28,33,6,0.95461053,0.083305404,0.89956963,7,0.34846506,0.36227584,"",5,0.46286407,0.37137705,2,0.54734629,0.38750178,3,0.40654257,0.37637553,2,0.2857143
F_0053,57,0,0,31,31,1,0.58439893,0,0.58439893,2,0.58439893,0,"",2,0.58439893,0,1,0.58439893,0,1,0.58439893,0,0,0
F_0054,58,0,0,30,31,2,0.67549527,0.003998667,0.67149663,3,0.45299599,0.31467849,"",2,0.67549527,0.003998667,1,0.67949396,0,1,0.67149663,0.007997334,1,0.33333334
F_0055,59,0,0,32,33,2,0.42905709,0.0028766692,0.43193376,3,0.28795585,0.19956112,"",2,0.42905709,0.0028766692,1,0.42618042,0,1,0.43193376,0.0057533383,1,0.33333334
F_0056,60,0,0,42,42,1,0.67262089,0,0.67262089,2,0.67262089,0,"",2,0.67262089,0,1,0.67262089,0,1,0.67262089,0,0,0
F_0057,61,0,0,42,42,1,0.95696455,0,0.95696455,2,0.95696455,0,"",2,0.95696455,0,1,0.95696455,0,1,0.95696455,0,0,0
F_0058,62,0,0,43,43,1,0.97503448,0,0.97503448,2,0.97503448,0,"",2,0.97503448,0,1,0.97503448,0,1,0.97503448,0,0,0
F_0059,63,0,0,43,43,1,0.77319849,0,0.77319849,2,0.77319849,0,"",2,0.77319849,0,1,0.77319849,0,1,0.77319849,0,0,0
F_0060,64,0,0,34,36,3,0.61553675,0.096214086,0.75132996,4,0.37566498,0.28744644,"",3,0.49590316,0.22877586,2,0.36818978,0.17197517,1,0.75132996,0.38314018,1,0.25
F_0061,65,0,0,45,45,1,0.85275394,0,0.85275394,2,0.85275394,0,"",2,0.85275394,0,1,0.85275394,0,1,0.85275394,0,0,0
F_0062,66,0,0,41,45,5,1.1926092,0.42361468,2.0011837,6,0.75939512,0.65195829,"",5,0.89804554,0.62826425,3,0.75939512,0.27493519,2,1.106021,0.95993012,1,0.16666667
F_0063,67,0,0,44,44,1,0.94375038,0,0.94375038,2,0.94375038,0,"",2,0.94375038,0,1,0.94375038,0,1,0.94375038,0,0,0
F_0064,68,0,0,46,48,3,0.70856744,0.14561397,0.90371907,4,0.50879836,0.30106926,"",4,0.50879836,0.30106926,2,0.50879836,0.15913212,2,0.50879836,0.39492071,0,0
F_0065,69,0,0,46,46,1,0.89145327,0,0.89145327,2,0.89145327,0,"",2,0.89145327,0,1,0.89145327,0,1,0.89145327,0,0,0
F_0066,70,0,0,46,46,1,0.39782006,0,0.39782006,2,0.39782006,0,"",2,0.39782006,0,1,0.39782006,0,1,0.39782006,0,0,0
F_0067,71,0,0,46,47,2,0.80157244,0.36594507,1.1675175,3,0.77834505,0.30059311,"",3,0.77834505,0.30059311,2,0.58375877,0.14813137,1,1.1675175,0.58375877,0,0
F_0068,72,0,0,38,38,1,0.50397635,0,0.50397635,2,0.50397635,0,"",2,0.50397635,0,1,0.50397635,0,1,0.50397635,0,0,0
F_0069,73,0,0,38,38,1,0.94846344,0,0.94846344,2,0.94846344,0,"",2,0.94846344,0,1,0.94846344,0,1,0.94846344,0,0,0
F_0070,74,0,0,38,39,2,0.52289706,0.05654496,0.57944202,3,0.38629469,0.19862521,"",3,0.38629469,0.19862521,2,0.28972101,0.17663109,1,0.57944202,0.28972101,0,0
F_0071,75,0,0,38,40,3,0.58418804,0.082008258,0.64052165,4,0.321908,0.24791504,"",3,0.42811254,0.19191544,2,0.321908,0.14631844,1,0.64052165,0.31861365,1,0.25
F_0072,76,0,0,38,40,3,1.011927,0.059756331,1.049566,4,0.5293169,0.46328905,"",3,0.70273328,0.4072952,2,0.5293169,0.39826417,1,1.049566,0.52024913,1,0.25
