"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,0,0,1,0.73891675,0,0.73891675,1,0.73891675,0,"",1,0.73891675,0,0,nan,nan,1,0.73891675,nan,0,0
F_0001,5,1,0.016666668,0,59,60,1.7604043,0.40546131,2.4741015,59,0.16602513,0.2023112,"",25,0.33133256,0.2187472,15,0.32379919,0.18536605,10,0.34263262,0.26120272,34,0.57627118
F_0002,6,0,0,0,0,1,0.6598208,0,0.6598208,1,0.6598208,0,"",1,0.6598208,0,0,nan,nan,1,0.6598208,nan,0,0
F_0003,7,0,0,0,2,3,0.85366553,0.11086144,0.77559495,3,0.33724245,0.32445189,"",2,0.50554353,0.27005142,0,nan,nan,2,0.50554353,nan,1,0.33333334
F_0004,8,0,0,2,2,1,0.42397028,0,0.42397028,2,0.42397028,0,"",2,0.42397028,0,1,0.42397028,0,1,0.42397028,0,0,0
F_0005,9,0,0,11,11,1,0.53836894,0,0.53836894,2,0.53836894,0,"",2,0.53836894,0,1,0.53836894,0,1,0.53836894,0,0,0
F_0006,10,0,0,12,14,3,0.77476436,0.064119972,0.81394744,4,0.41299674,0.34234136,"",3,0.54664701,0.29122829,2,0.41299674,0.27135536,1,0.81394744,0.4009507,1,0.25
F_0007,11,0,0,7,12,6,0.56073374,0.12013522,0.47537726,7,0.24607573,0.11967431,"",7,0.24607573,0.11967431,4,0.21531625,0.092498846,3,0.28708833,0.15561968,0,0
F_0008,12,0,0,11,13,3,0.61031532,0.050074253,0.65996939,4,0.37371117,0.27131706,"",3,0.46913061,0.24845751,2,0.37371117,0.25550365,1,0.65996939,0.28625822,1,0.25
F_0009,13,0,0,14,14,1,0.55970407,0,0.55970407,2,0.55970407,0,"",2,0.55970407,0,1,0.55970407,0,1,0.55970407,0,0,0
F_0010,14,0,0,13,13,1,0.5160014,0,0.5160014,2,0.5160014,0,"",2,0.5160014,0,1,0.5160014,0,1,0.5160014,0,0,0
F_0011,15,0,0,6,6,1,1.6762733,0,1.6762733,2,1.6762733,0,"",2,1.6762733,0,1,1.6762733,0,1,1.6762733,0,0,0
F_0012,16,0,0,2,7,6,0.99677569,0.42885044,1.472356,7,0.50797498,0.51098037,"",5,0.69533014,0.49235055,3,0.5881874,0.34941298,2,0.85604423,0.67200255,2,0.2857143
F_0013,17,0,0,6,7,2,0.64020282,0.023420691,0.66362351,3,0.44241568,0.28036618,"",2,0.64020282,0.023420691,1,0.61678213,0,1,0.66362351,0.046841383,1,0.33333334
F_0014,18,0,0,6,8,3,0.77020234,0.26052603,0.53875458,4,0.56709474,0.053772721,"",4,0.56709474,0.053772721,2,0.56709474,0.070568025,2,0.56709474,0.028340161,0,0
F_0015,19,0,0,7,7,1,0.53512436,0,0.53512436,2,0.53512436,0,"",2,0.53512436,0,1,0.53512436,0,1,0.53512436,0,0,0
F_0016,20,0,0,8,8,1,1.4489413,0,1.4489413,2,1.4489413,0,"",2,1.4489413,0,1,1.4489413,0,1,1.4489413,0,0,0
F_0017,21,0,0,8,10,3,0.79023808,0.18745111,0.62280178,4,0.52597344,0.13833474,"",4,0.52597344,0.13833474,2,0.52597344,0.16999197,2,0.52597344,0.096828341,0,0
F_0018,22,0,0,8,9,2,0.63871294,0.27525601,0.91396898,3,0.60931271,0.22855927,"",3,0.60931271,0.22855927,2,0.45698452,0.09352757,1,0.91396898,0.45698446,0,0
F_0019,23,0,0,7,10,4,0.61920226,0.096091002,0.63045222,5,0.29781383,0.21405001,"",5,0.29781383,0.21405001,3,0.2481782,0.16051003,2,0.37226731,0.28645688,0,0
F_0020,24,0,0,7,9,3,0.55488217,0.050104428,0.61344969,4,0.34126559,0.24697146,"",3,0.43199363,0.22000054,2,0.34126559,0.21887353,1,0.61344969,0.2721841,1,0.25
F_0021,25,0,0,0,59,60,1.4618809,0.25933364,1.1534017,59,0.18434624,0.21058637,"",29,0.33053362,0.21655822,15,0.32179597,0.23793738,14,0.33989543,0.19142839,30,0.50847459
F_0022,26,0,0,52,53,2,0.53253722,0.2085264,0.74106359,3,0.4940424,0.17875272,"",3,0.4940424,0.17875272,2,0.3705318,0.046521008,1,0.74106359,0.3705318,0,0
F_0023,27,0,0,55,55,1,0.26516569,0,0.26516569,2,0.26516569,0,"",2,0.26516569,0,1,0.26516569,0,1,0.26516569,0,0,0
F_0024,28,0,0,52,59,8,1.1148168,0.28898337,1.6465342,8,0.20811924,0.19497724,"",5,0.33114854,0.14300796,5,0.33114854,0.14300796,0,nan,nan,3,0.375
F_0025,29,0,0,55,56,2,1.1802001,0.027720571,1.1524795,3,0.80528045,0.53069931,"",2,1.1802001,0.027720571,1,1.2079207,0,1,1.1524795,0.055441141,1,0.33333334
F_0026,30,0,0,57,57,1,0.58648139,0,0.58648139,2,0.58648139,0,"",2,0.58648139,0,1,0.58648139,0,1,0.58648139,0,0,0
F_0027,31,0,0,57,58,2,0.68020165,0.18993726,0.87013894,3,0.58009261,0.2099867,"",3,0.58009261,0.2099867,2,0.43506947,0.055194944,1,0.87013894,0.43506947,0,0
F_0028,32,0,0,48,48,1,0.68884504,0,0.68884504,2,0.68884504,0,"",2,0.68884504,0,1,0.68884504,0,1,0.68884504,0,0,0
F_0029,33,0,0,50,50,1,0.38079271,0,0.38079271,2,0.38079271,0,"",2,0.38079271,0,1,0.38079271,0,1,0.38079271,0,0,0
F_0030,34,0,0,47,49,3,0.40982327,0.10428114,0.55217975,4,0.27608988,0.18035679,"",3,0.34588063,0.15455881,2,0.24273108,0.062555149,1,0.55217975,0.30944869,1,0.25
