"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,1,1,1,0.51305032,0,0.51305032,2,0.51305032,0,"",2,0.51305032,0,1,0.51305032,0,1,0.51305032,0,0,0
F_0001,5,0,0,0,2,3,0.68310046,0.25277913,0.42231879,3,0.3417491,0.11478748,"",3,0.3417491,0.11478748,0,nan,nan,3,0.3417491,nan,0,0
F_0002,6,0,0,3,3,1,1.1774055,0,1.1774055,2,1.1774055,0,"",2,1.1774055,0,1,1.1774055,0,1,1.1774055,0,0,0
F_0003,7,0,0,3,4,2,1.3001161,0.24685735,1.0532588,3,1.0313157,0.43027094,"",3,1.0313157,0.43027094,1,1.5469735,0,2,0.77348673,0.82252908,0,0
F_0004,8,0,0,4,4,1,1.2904792,0,1.2904792,2,1.2904792,0,"",2,1.2904792,0,1,1.2904792,0,1,1.2904792,0,0,0
F_0005,9,0,0,4,4,1,0.33942661,0,0.33942661,2,0.33942661,0,"",2,0.33942661,0,1,0.33942661,0,1,0.33942661,0,0,0
F_0006,10,0,0,1,4,4,1.0981045,0.58858949,0.55065584,5,0.76962,0.62605578,"",4,0.95165849,0.56942272,1,1.8825839,0,3,0.64134997,1.260087,1,0.2
F_0007,11,0,0,1,3,3,0.553029,0.04469803,0.52326524,4,0.30992815,0.26393098,"",2,0.56973588,0.046470612,1,0.61620647,0,1,0.52326524,0.092941225,2,0.5
F_0008,12,0,0,6,7,2,0.49717772,0.091471791,0.58864951,3,0.39243302,0.16589445,"",3,0.39243302,0.16589445,2,0.29432476,0.11138117,1,0.58864951,0.29432476,0,0
F_0009,13,0,0,5,5,1,0.67202663,0,0.67202663,2,0.67202663,0,"",2,0.67202663,0,1,0.67202663,0,1,0.67202663,0,0,0
F_0010,14,0,0,5,5,1,0.49547443,0,0.49547443,2,0.49547443,0,"",2,0.49547443,0,1,0.49547443,0,1,0.49547443,0,0,0
F_0011,15,0,0,6,6,1,0.51108831,0,0.51108831,2,0.51108831,0,"",2,0.51108831,0,1,0.51108831,0,1,0.51108831,0,0,0
F_0012,16,0,0,6,6,1,1.2067975,0,1.2067975,2,1.2067975,0,"",2,1.2067975,0,1,1.2067975,0,1,1.2067975,0,0,0
F_0013,17,2,0.040816326,6,54,49,2.1973453,0.94677812,1.6745253,50,0.53666651,0.57588691,"",37,0.70783192,0.57887977,17,0.77366877,0.64909738,20,0.65187055,0.51945055,13,0.25999999
F_0014,18,0,0,0,8,9,0.43229088,0.050685212,0.50376958,9,0.10575534,0.1455026,"",3,0.2465585,0.18217897,1,0.13082197,0,2,0.30442676,0.26434103,6,0.66666669
F_0015,19,0,0,6,6,1,1.3963895,0,1.3963895,2,1.3963895,0,"",2,1.3963895,0,1,1.3963895,0,1,1.3963895,0,0,0
F_0016,20,0,0,7,7,1,0.51020551,0,0.51020551,2,0.51020551,0,"",2,0.51020551,0,1,0.51020551,0,1,0.51020551,0,0,0
